mode,rocm_version,size,straight,paths2,paths4,full2,full4
no-sync,7.2 (develop),1,3.161,4.777,5.676,3.761,5.238
no-sync,7.2 (develop),2,3.104,4.767,5.829,3.873,5.230
no-sync,7.2 (develop),4,3.186,4.829,5.534,3.702,5.254
no-sync,7.2 (develop),8,3.212,4.645,5.859,3.881,5.226
no-sync,7.2 (develop),16,3.294,4.782,5.865,3.991,5.215
no-sync,7.2 (develop),32,3.481,4.988,5.936,4.046,5.234
no-sync,7.2 (develop),64,3.335,5.077,6.135,4.173,5.536
no-sync,7.2 (develop),128,3.574,7.933,6.630,4.401,5.900
no-sync,7.2 (develop),256,4.014,5.595,7.055,4.971,6.462
no-sync,7.2 (develop),512,7.612,10.331,12.042,8.454,10.678
no-sync,7.2 (develop),1024,9.183,12.307,13.845,10.484,12.115
no-sync,7.2 (develop),2048,12.296,15.820,17.442,13.137,14.881
no-sync,7.2 (develop),4096,14.906,17.505,18.498,16.320,17.276
no-sync,7.2 (develop),8192,28.096,29.696,29.211,25.987,27.584
no-sync,7.12.0rc0 (elastic_goldstine),1,5.124,13.421,23.467,9.923,15.905
no-sync,7.12.0rc0 (elastic_goldstine),2,5.282,13.311,22.756,9.820,15.521
no-sync,7.12.0rc0 (elastic_goldstine),4,5.405,13.387,22.369,10.559,15.822
no-sync,7.12.0rc0 (elastic_goldstine),8,5.795,14.596,22.689,10.916,16.339
no-sync,7.12.0rc0 (elastic_goldstine),16,6.452,15.213,23.807,11.379,17.598
no-sync,7.12.0rc0 (elastic_goldstine),32,6.724,23.019,45.288,21.212,28.758
no-sync,7.12.0rc0 (elastic_goldstine),64,11.261,28.176,48.682,21.746,30.957
no-sync,7.12.0rc0 (elastic_goldstine),128,11.923,28.159,46.189,21.423,31.548
no-sync,7.12.0rc0 (elastic_goldstine),256,13.118,29.857,46.883,22.687,31.869
no-sync,7.12.0rc0 (elastic_goldstine),512,15.006,31.573,47.205,23.758,34.272
no-sync,7.12.0rc0 (elastic_goldstine),1024,20.534,36.393,53.786,29.648,41.700
no-sync,7.12.0rc0 (elastic_goldstine),2048,30.975,47.307,65.047,40.087,50.325
no-sync,7.12.0rc0 (elastic_goldstine),4096,52.571,69.735,71.552,55.436,61.859
no-sync,7.12.0rc0 (elastic_goldstine),8192,95.133,106.703,114.623,100.474,108.024
sync,7.2 (develop),1,22.041,38.199,48.451,24.491,32.237
sync,7.2 (develop),2,23.019,38.284,48.714,24.433,32.479
sync,7.2 (develop),4,26.223,38.312,48.973,25.366,32.333
sync,7.2 (develop),8,32.808,45.827,48.736,29.060,35.303
sync,7.2 (develop),16,45.594,62.381,61.663,36.146,52.019
sync,7.2 (develop),32,71.102,91.028,112.258,50.586,56.557
sync,7.2 (develop),64,133.938,127.757,166.883,78.419,97.882
sync,7.2 (develop),128,218.074,262.433,310.923,134.438,141.410
sync,7.2 (develop),256,415.714,489.989,574.979,244.765,251.852
sync,7.2 (develop),512,819.626,918.097,1145.524,467.712,473.769
sync,7.2 (develop),1024,1605.067,1743.424,2038.508,912.932,924.813
sync,7.2 (develop),2048,3167.541,3623.766,4110.726,1801.041,1789.316
sync,7.2 (develop),4096,6327.124,7618.668,8243.569,3573.269,3537.199
sync,7.2 (develop),8192,12614.591,13437.354,17407.883,7127.206,7047.399
